record_id;redcap_repeat_instrument;redcap_repeat_instance;age;sex;gender;native_language;language_specification;employment_status;comments;your_demographics_complete;consent;online_screening_consent_form_complete
THUAS_S001;your_demographics;1;24;2;2;0;3;3;;2;;
THUAS_S002;your_demographics;1;42;1;1;0;3;1;;2;;
THUAS_S003;your_demographics;1;57;1;1;0;2;1;;2;;
THUAS_S004;your_demographics;1;24;2;2;0;3;0;;2;;
THUAS_S005;your_demographics;1;19;1;1;0;3;3;;2;;
THUAS_S006;your_demographics;1;29;2;2;0;3;1;;2;;
THUAS_S007;your_demographics;1;26;2;2;0;3;2;;2;;
THUAS_S008;your_demographics;1;26;2;3;0;3;3;;2;;
THUAS_S009;your_demographics;1;20;1;1;0;3;3;;2;;
THUAS_S010;your_demographics;1;23;2;2;0;3;3;;2;;
THUAS_S011;your_demographics;1;20;2;1;0;3;3;;2;;
THUAS_S012;your_demographics;1;45;2;2;0;3;0;;2;;
THUAS_S013;your_demographics;1;34;1;1;1;;1;;2;;
THUAS_S014;your_demographics;1;59;1;1;1;;1;;2;;
THUAS_S015;your_demographics;1;39;1;1;0;3;1;;2;;
THUAS_S016;your_demographics;1;27;2;2;0;3;0;;2;;
THUAS_S017;your_demographics;1;38;1;1;0;3;0;;2;;
THUAS_S018;your_demographics;1;32;2;2;1;;1;;2;;
THUAS_S019;your_demographics;1;46;2;2;0;3;0;;2;;
THUAS_S020;your_demographics;1;35;2;2;1;;1;;2;;
