record_id,redcap_survey_identifier,your_sleep_environment_ase_timestamp,slypos_ase_001,slypos_ase_002,slypos_ase_003,slypos_ase_004,slypos_ase_005,slypos_ase_006,slypos_ase_007,slypos_ase_attentioncheck,slypos_ase_008,slypos_ase_009,slypos_ase_010,slypos_ase_011,slypos_ase_012,slypos_ase_0123,your_sleep_environment_ase_complete
"THUAS_S001,,""2025-03-03 10:11:29"",4,4,2,4,3,3,3,4,4,4,4,4,4,4,2"
"THUAS_S002,,""2025-03-10 13:44:19"",4,3,4,4,2,4,4,4,4,4,4,4,4,4,2"
"THUAS_S003,,""2025-03-24 08:48:37"",3,4,3,4,2,4,4,4,4,4,4,4,4,4,2"
THUAS_S004,,,,,,,,,,,,,,,,,0
"THUAS_S005,,""2025-03-31 09:18:22"",4,4,1,4,2,4,4,4,4,3,4,2,3,4,2"
"THUAS_S006,,""2025-04-07 10:57:06"",3,3,3,3,3,3,3,4,3,2,3,3,3,3,2"
"THUAS_S007,,""2025-04-14 13:45:39"",4,4,2,3,3,4,4,4,4,4,4,4,2,4,2"
THUAS_S008,,,,,,,,,,,,,,,,,0
THUAS_S009,,,,,,,,,,,,,,,,,0
"THUAS_S010,,""2025-06-10 15:23:37"",3,2,3,3,1,4,3,4,4,4,3,3,2,4,2"
"THUAS_S011,,""2025-05-19 12:13:28"",2,3,2,3,2,2,3,4,4,4,4,4,3,4,2"
THUAS_S012,,,,,,,,,,,,,,,,,0
THUAS_S013,,,,,,,,,,,,,,,,,0
"THUAS_S014,,""2025-07-14 12:47:11"",2,4,4,4,2,3,4,4,4,4,4,4,4,4,2"
"THUAS_S015,,""2025-07-14 14:15:58"",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2"
"THUAS_S016,,""2025-07-18 14:12:56"",3,4,4,4,3,3,3,4,4,4,4,4,4,4,2"
"THUAS_S017,,""2025-09-15 16:31:49"",3,2,3,2,3,3,3,4,3,3,3,3,3,4,2"
"THUAS_S018,,""2025-10-13 11:57:45"",4,4,3,3,4,4,3,4,4,3,4,4,4,4,2"
"THUAS_S019,,""2025-10-09 10:37:58"",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2"
"THUAS_S020,,""2025-10-15 13:11:39"",3,2,2,3,3,2,3,4,4,3,4,4,3,4,2"
